Country Name,Country Code,Series Name,Series Code,2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,..,..,..,..,..,..,..,-2.35800706239769,2.23189679843934,-3.64333544007345,-12.6201089578522,-25.748751430756,-24.7800367689079,-15.781846710276,-21.0619026265545,-13.9880853958358,-17.6056863912819,-19.9997978720271,-19.8528636850795,..
Albania,ALB,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,-5.54294967807279,-9.37243385036194,-7.24967045755812,-4.98178565576437,-7.09724273654265,-7.54157687280433,-10.7781057760347,-15.6285282209844,-15.3804650385538,-11.3658640510046,-12.9330964260384,-10.2001794975741,-9.27419308993992,-10.775401897152,-8.60488560166004,-7.59082537995602,-7.54424773522478,-6.66955117006572,-7.97781023941413,..
Algeria,DZA,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,..,..,..,..,20.5235656440087,24.715139820033,22.4879251545672,19.8562460910231,0.314600291232337,7.58044663046647,8.83607411932364,5.78420499791843,0.566325312951006,-4.33299403477184,-16.2897517234685,-16.3740654289643,-13.1780840908978,..,..,..
American Samoa,ASM,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,-16.012978916934,-0.981927016546037,-4.03958224542819,2.89247684338395,13.8970921801467,20.4078149120781,16.2123883977719,8.12554754936237,-10.7693887074464,8.95703976588897,11.7046899595455,10.8089626800402,5.95792428066991,-2.57186260874095,-8.8411388918829,-3.05090780260243,-0.518217605550058,7.3037696598072,5.42861764065317,..
Antigua and Barbuda,ATG,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,-7.10527716783548,-10.1159872139607,-11.4018669691119,-10.3418597831379,-16.7769846660216,-25.2171143149332,-29.3971454510803,-26.246946881963,-13.8063634934331,-14.5474898838945,-10.3453829249712,-13.9023718926126,-17.3007972638727,0.266640583293098,2.19446051698316,-2.42620643748483,-8.84658938095234,-7.02659435120232,..,..
Argentina,ARG,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,-1.40694788500181,8.97078467784247,6.37990680177011,1.95058324319273,2.65363142179073,2.79449564264943,2.1036160391819,1.49940141614234,2.1785669619099,-0.383118699737132,-1.00727103856271,-0.39159512386959,-2.37749566620574,-1.74400211981355,-2.96292666513535,-2.7092262729721,-4.84698182437693,-5.20305583023826,-0.88889103208008,..
Armenia,ARM,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,-10.4398165717153,-6.2201045971038,-6.18119850537565,-2.20435917633131,-2.52832391913202,-2.39537307018263,-7.3566009937396,-14.2246479360543,-16.4837122757881,-13.6219495016022,-10.4403286979452,-9.96233223726517,-7.31624569547426,-7.76786653784116,-2.69795490057304,-1.02289269763472,-1.5082334793193,-6.90331426300408,-7.22253210674652,..
Aruba,ABW,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,16.0803025894676,-17.526618705036,-8.19071310116085,12.1556781148158,4.50346715007561,12.8086334507692,9.87609485152745,0.00407000407000378,6.87010954616587,-19.2474877307782,-10.2191060473269,3.58386599074278,-12.2605533498759,-4.89985038383839,3.79133719862229,4.58498010563219,0.965866748406551,..,..,..
Australia,AUS,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,-2.11084652161365,-4.05480270758646,-6.2826327570975,-6.74083236526461,-6.25071507998208,-6.07443702924561,-7.52116229695118,-4.94515069836674,-5.27033137745749,-3.90129530018019,-3.18126653304053,-4.17054203246807,-3.03724164450092,-2.95726606528368,-4.21387625058776,-3.39513652700999,-2.68999652428858,-2.0297323882662,0.556521976902971,..
Austria,AUT,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,..,..,..,..,1.97261080636848,3.27200314072399,3.79454043655955,4.48508217916591,2.57482210818849,2.92744156292677,1.57704840696994,1.50013544947886,1.94833654536212,2.39594143192575,1.73749753483461,2.72541198739189,1.35083967326704,1.31521952251018,2.83793612043934,..
Azerbaijan,AZE,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,-0.906754298668071,-12.3218512263918,-27.7741943440845,-29.8283699690511,1.26316311439409,17.6695773383406,27.2883243190353,33.678544063861,22.9725301709198,28.4303731948664,25.9962274288622,21.491304729494,16.4927257167165,13.5675443544848,-0.41921363920559,-3.60045769447184,4.12219738291502,12.8437682914648,9.0844948429751,..
"Bahamas, The",BHS,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,-7.75394544009676,-4.76646866689712,-5.33827728918196,-3.39160866189818,-7.12305028440183,-13.8061914480317,-12.3851568041165,-11.6100892944233,-8.10442037435534,-8.0632166374795,-11.9472714724764,-14.0366811249475,-14.1434103022901,-17.2750974574321,-10.2377010699914,-5.95377539358059,-12.4202036467134,-12.1148323470149,0.652906743182927,..
