Country Name,Country Code,Series Name,Series Code,2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,..,..,..,..,..,..,..,..,19.9958939998469,15.3347224994822,13.9744046769564,12.8817480172867,12.5420403754658,12.3513412371547,12.9282981630427,13.2843339612008,13.4636800958384,13.6149644180405,13.7184065436753,..
Albania,ALB,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,28.3557205760851,26.3751195857912,26.8073294009756,21.7891805574256,25.8464872804422,27.4819817138607,27.0314462277846,32.9069794229936,38.8560613126543,46.0444730557424,50.2889249953247,60.386295007885,66.5335456456444,63.7615034128163,73.3184369794616,70.6487254718384,75.0855895661644,65.2230052272194,63.6566373144033,..
Algeria,DZA,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,42.799283138743,42.2184895679438,36.3394684391187,27.3995922615264,17.4109976953439,5.24892019901984,4.60930597107289,3.6758808451073,5.45577613395562,4.50998254755522,3.05889286793083,2.68811184054359,2.5559845928829,2.64151363321069,2.89108140086113,3.44749579601398,3.46287887260508,3.37180132067725,3.3128422297169,..
American Samoa,ASM,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,119.007813439182,66.7319448796885,56.56921423567,46.4596886931176,37.1097748039819,21.4065385906825,20.6820843221197,20.7120731134453,31.7688308235297,35.12701060587,33.2651186166573,37.6224139871243,43.3189200284834,41.5982422829337,51.0213029183122,59.2747936137733,44.4166403624811,55.5062919368781,60.1607433230309,..
Antigua and Barbuda,ATG,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,58.4932935172091,159.890183546743,133.474955613907,114.783966038451,74.2469415660218,52.8927514497342,43.1591873972818,36.8066405169797,41.4356014785928,30.9578740838785,27.7397316089295,26.2815033344271,27.878287954302,29.8799341576294,30.4104040537488,34.7181506807966,37.8345447399711,56.5840247194134,64.6089061361505,..
Armenia,ARM,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,64.6369814678621,69.9371558433651,68.8336104106054,56.5888045570055,38.5750301830879,31.9881908994372,31.7603364781345,29.2430682607578,54.7919798640002,64.8981606877843,70.5642942821387,69.1932646471987,73.5435572836873,70.5229751093559,80.4154627750132,91.3294642325227,85.70125117502,84.9959795403687,85.5160329001305,..
Aruba,ABW,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
