Country Name,Country Code,Series Name,Series Code,2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,GNI growth (annual %),NY.GNP.MKTP.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,GNI growth (annual %),NY.GNP.MKTP.KD.ZG,..,..,..,..,..,..,..,..,1.40828876183951,4.22652167622839,3.60984737901975,0.651926441545299,3.45312924966154,0.998936281869689,2.46349568560682,3.74252147174181,..,..,..,..
Algeria,DZA,GNI growth (annual %),NY.GNP.MKTP.KD.ZG,5.79904163551299,4.44992899702635,7.30322331113642,3.49302621835088,3.99017776244162,2.77492625279616,7.45666791953141,3.50298767417512,1.39767300670457,4.56945005968674,1.61335951725323,2.01269084740268,2.31432156582288,3.7307946821241,3.40641726637021,5.76073017299055,0.458733850025467,..,..,..
American Samoa,ASM,GNI growth (annual %),NY.GNP.MKTP.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,GNI growth (annual %),NY.GNP.MKTP.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,GNI growth (annual %),NY.GNP.MKTP.KD.ZG,9.2403220485289,23.5084782390028,3.97880217366308,8.93957721938183,13.2834953040751,9.09891317658366,16.316132806935,5.92803841770275,11.9012791551649,2.93879233273991,3.30863544960236,9.60951406961127,6.41613302553824,6.68202281721551,2.79721409680292,-2.82413224811447,-1.33084915666116,-4.21474796568955,..,..
Antigua and Barbuda,ATG,GNI growth (annual %),NY.GNP.MKTP.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,GNI growth (annual %),NY.GNP.MKTP.KD.ZG,-4.61377911785782,-13.204426698983,10.2012171383515,1.06936671598963,8.67093621470443,17.7182562290827,9.7494087076804,4.15675113081417,-6.49146066263611,9.68153185165757,6.5890111667504,-0.674779301506234,2.56830851510965,-2.30354345985768,2.92016042344525,-2.25177916704162,2.22520471680956,-3.57419667942101,-2.3548210264166,..
Armenia,ARM,GNI growth (annual %),NY.GNP.MKTP.KD.ZG,9.46777748600012,13.7747269570248,13.966244796717,11.3416211246926,13.9719066049561,13.7679305488603,14.556094805705,7.50474632341745,-15.8547302967246,2.98397210692333,3.30970464595607,7.7518597257227,5.3086427523881,1.98552505527931,2.6705548647561,-1.37501807125966,8.72894662862859,3.04851190609008,7.96413555475695,..
Aruba,ABW,GNI growth (annual %),NY.GNP.MKTP.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,GNI growth (annual %),NY.GNP.MKTP.KD.ZG,1.98900125909263,4.08595826624483,2.88197746100498,3.97099167732875,2.29594418591282,2.54222128604479,3.1795150926087,3.9968935312375,2.48781514926691,1.67799984865363,2.15940099030369,5.01933748594993,3.25467909386616,2.41228284423052,2.85289257288845,2.49107628955952,1.93081427630173,2.50409913431618,1.65664079622898,..
Austria,AUT,GNI growth (annual %),NY.GNP.MKTP.KD.ZG,0.751237992174467,2.47638684597618,1.28271020842425,2.85441462810428,2.16770271101461,3.92231398317287,3.3768760275547,2.416225672039,-4.60721908530331,2.73679843423437,2.40821839554862,0.444487304617752,0.192152012797919,0.524875063525727,-0.110781818816847,3.089907491413,1.57751699541481,3.05268217009056,..,..
Azerbaijan,AZE,GNI growth (annual %),NY.GNP.MKTP.KD.ZG,10.017291841842,9.44721912874418,10.0387213334086,6.88721783393763,20.4082207526576,31.2928257157998,20.9316847664381,16.9074916029216,16.2983686732747,6.76321150197361,-3.68092874745557,4.08132802729433,..,..,..,..,..,..,..,..
"Bahamas, The",BHS,GNI growth (annual %),NY.GNP.MKTP.KD.ZG,1.98575470128775,2.88708482673728,-0.821704686093625,1.14284904595921,3.02194048751672,2.28317685342209,1.34253785657255,-0.526211114298661,-4.98374867157672,0.926620121770227,0.84390120218805,3.90912279520388,-2.2623201891691,-3.04333604855881,1.11069527168797,0.165868485563863,0.807141103084376,-1.28157491940075,..,..
Bahrain,BHR,GNI growth (annual %),NY.GNP.MKTP.KD.ZG,1.56786542804805,2.14735714621067,6.9432870809277,7.09225389975849,8.10035148053041,6.79945478263583,8.90191724232234,3.71215991986493,-3.86105436850869,4.80081738003406,-3.58964412605057,16.8331690040781,4.80766603457337,3.13722218746737,2.68299920606559,3.59206772076838,3.59610364379077,2.01695587162931,..,..
Bangladesh,BGD,GNI growth (annual %),NY.GNP.MKTP.KD.ZG,4.87253251074155,4.74451418067123,4.75520837096724,5.61595644569299,6.64594235916867,7.95744292320278,7.80427733551193,7.12613885877673,5.25641799500818,5.78301689795858,6.25362813327257,6.9794450610709,5.60840920089794,4.73563710977149,6.36090540220513,6.40842592795026,5.87780996445552,8.12312882212241,8.28957628169516,..
Barbados,BRB,GNI growth (annual %),NY.GNP.MKTP.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
