country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Saudi Arabia,86.701772,93.147799,96.351697,81.564231,62.928202,37.342436,25.830841,17.115431,12.055995,13.989038,8.4259843,5.3830814,3.0363357,2.1478295,1.5618864,5.7998488,13.092574,17.159603,18.979589
Senegal,57.995102,56.028601,53.694294,43.208472,37.592354,36.070393,17.250049,18.550982,18.889233,26.850086,28.305945,32.715174,34.172309,36.76931,42.372275,44.510311,47.527224,61.232211,61.550951
Serbia,no data,no data,no data,71.643886,62.09087,51.195441,37.754944,30.931202,30.07061,33.326695,40.319663,42.666524,53.210165,56.299579,66.431954,70.020737,67.873976,57.906131,53.820616
Seychelles,177.83717,199.78682,195.85988,176.97492,163.22583,144.06428,135.07054,144.04845,192.10236,106.12531,82.223527,82.508384,80.06926,68.198972,72.73117,67.014539,69.047749,63.159971,56.919513
Sierra Leone,143.23099,132.78648,126.23944,123.64958,119.88113,111.69906,103.22887,42.165633,42.374188,48.050382,46.849097,44.751126,36.765491,30.544877,34.96543,44.943057,55.457472,57.890346,62.994444
Singapore,83.842171,93.936375,97.223022,101.75937,97.597527,94.966788,89.370246,89.447102,96.44771,106.40023,101.27925,104.49802,107.51031,99.031232,99.259402,102.95959,109.06096,110.65389,114.34409
Slovak Republic,no data,no data,no data,no data,no data,no data,35.532221,34.825322,33.899683,42.617023,46.968104,49.214528,58.525491,57.938836,57.118361,56.663536,56.823327,55.614383,55.085771
Slovenia,22.429453,24.248521,25.157063,24.288726,24.162529,23.993207,23.360114,21.0856,18.936012,30.570671,32.682219,40.899432,46.440237,60.337232,69.126063,70.211721,67.206743,66.856624,63.776767
Solomon Islands,43.549889,55.153247,64.673922,70.679618,58.170288,53.259408,48.362672,43.906169,35.490675,33.853792,28.527227,20.648339,16.957271,15.33462,11.919396,10.147872,7.9217988,9.5056804,9.4220681
South Africa,42.210173,42.401811,35.547313,35.427519,34.392665,33.212303,31.355116,27.0607,26.506767,30.079312,34.67616,38.227988,41.000912,44.102575,46.987543,49.334709,51.464559,53.02161,56.709997
"South Sudan, Republic of",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,8.9057282,17.586984,38.325065,60.263698,85.702232,63.174813,42.220106
Spain,48.713936,45.10041,42.917401,39.889816,38.533954,35.655348,32.378701,29.50287,33.045298,45.194255,51.025884,58.315515,73.268412,82.888098,86.959415,86.984832,86.666658,86.664034,86.6769
Sri Lanka,81.869663,87.205245,99.544617,89.361611,89.412095,79.168753,76.791438,74.268455,71.098871,75.20018,71.569732,71.108043,69.60878,71.775785,72.216596,78.486864,79.016411,77.378217,83.282697
Sudan,143.24842,125.58747,121.71975,117.35315,97.804071,75.477386,63.70629,53.691937,55.756401,70.994946,74.567907,78.113173,117.67133,105.75246,84.425689,92.150367,128.37863,159.17971,212.07496
Suriname,38.26924,39.825977,38.117821,33.505688,31.569762,28.896027,23.949716,17.43218,15.634401,15.573285,18.46862,19.979135,21.44922,29.562634,26.378361,43.356574,75.181153,78.048179,72.761806
Sweden,65.164553,57.567496,54.715073,53.17739,51.801951,51.963446,47.118315,41.647294,39.501016,43.008945,39.51799,38.372225,39.145499,41.812492,44.398822,43.119236,41.173364,39.629967,38.027073
Switzerland,22.742953,22.329982,25.615911,25.595457,25.46537,25.193974,22.328784,19.938985,19.15581,17.970253,17.111171,16.770808,16.832123,16.424959,15.775113,15.017143,14.010512,14.505819,13.196511
Syria,152.09445,144.48996,132.42709,133.37035,113.04721,50.710288,44.977268,42.671884,37.319159,31.212095,30.024411,no data,no data,no data,no data,no data,no data,no data,no data
São Tomé and Príncipe,485.11581,410.1422,362.3849,325.59271,347.3784,295.74765,269.63683,103.80845,58.549322,72.416752,79.538546,78.019449,81.036875,71.15066,69.457256,85.797345,95.297494,91.708136,74.520738
Taiwan Province of China,23.673785,27.164099,26.677607,28.495159,28.860459,29.354469,28.658322,27.733116,28.728411,31.83435,32.129659,33.192877,34.018923,33.78882,32.74384,31.581384,31.110478,30.612226,30.236986
Thailand,21.964574,24.578279,30.070356,27.046023,24.396438,24.392201,23.261117,22.604001,21.99186,26.795897,27.779262,27.315354,28.457899,29.632393,29.890924,32.090138,30.632423,32.535938,34.019765
Timor-Leste,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.00032522,0.11280369,0.54593492,1.5168075,3.0831995,4.2828212,5.3056793
Togo,89.688461,92.385107,73.968837,67.414944,65.695208,85.094276,91.3848,102.33107,92.728397,80.553716,46.302047,47.341168,47.997724,57.227744,62.78462,72.110854,81.356477,75.95224,76.151906
Tonga,42.178508,50.307541,57.616343,54.85977,50.452891,40.027316,38.957114,35.730274,33.526342,37.607991,42.549849,50.032679,54.954925,48.286453,46.045445,50.024079,48.333671,44.773296,42.931478
Trinidad and Tobago,38.911381,36.612571,35.619038,29.045242,23.207829,19.012299,16.207078,15.653623,13.020745,20.03864,19.582732,27.976857,24.564476,24.521163,23.564256,27.906355,38.784635,42.534903,44.941716
Tunisia,55.008533,56.560842,55.906514,54.520996,54.101214,52.421963,47.951972,44.793897,42.016927,40.690041,39.217248,43.067993,47.676355,46.84503,51.529027,55.429287,62.27973,70.576147,77.009485
Turkey,37.363541,72.599291,67.651373,60.518137,54.932322,49.270806,43.77722,37.918998,38.282687,44.240641,40.874151,37.223248,33.949826,32.391477,29.959764,29.001635,29.133381,28.177207,28.652085
Turkmenistan,43.5079,26.899118,19.077586,13.34975,9.0075535,5.3788485,3.3344282,2.4155014,2.8091011,2.4359879,4.0350729,10.048119,18.066189,19.985476,16.812931,21.816341,24.068324,28.820096,29.139628
Tuvalu,no data,no data,no data,no data,no data,39.425635,39.803853,34.620707,37.492806,31.111829,27.425255,24.156603,27.491504,27.285768,64.464941,56.902883,47.222575,36.971872,28.146742
Uganda,62.986197,66.62911,70.986928,71.542763,63.53292,55.224789,36.015743,22.025636,20.310698,19.193526,22.415236,23.399686,24.526525,27.766315,30.698708,34.273901,37.06587,39.710592,41.367616
Ukraine,43.789532,36.690025,33.579563,29.380226,24.798092,17.740632,14.800602,12.266637,19.846941,34.738726,40.046047,36.394284,36.699789,39.9109,69.369328,79.330617,80.901967,71.79915,60.930639
United Kingdom,36.632698,33.955675,33.954179,34.988301,37.832158,38.942706,39.765278,40.762481,48.797566,62.865784,74.255575,79.837901,83.124107,84.232068,86.071588,86.909806,86.866674,86.098753,85.732796
United States,41.378347,40.6636,42.100453,44.669945,45.489038,45.621831,44.830592,45.238248,53.613096,65.10121,73.926408,78.816105,83.081135,85.431799,86.036021,86.828902,89.26581,88.805993,90.497535
Uruguay,29.525488,38.748488,91.618546,94.042068,75.76157,68.125951,62.2887,53.034768,52.271454,45.16506,40.160136,39.918065,38.752849,38.888246,39.674437,47.737606,47.10675,47.454312,50.541887
Vanuatu,36.10835,37.035863,38.80623,38.263811,30.412225,26.273755,22.160739,19.109891,20.61243,20.520278,19.3549,20.707463,18.444521,17.620015,24.832311,34.665111,45.158441,52.093723,51.412762
Venezuela,27.359836,29.553405,35.34075,47.484202,37.654814,31.672707,24.069227,19.151238,13.980853,18.202972,18.349001,25.160421,31.595699,45.114354,44.538799,50.875228,no data,no data,no data
Vietnam,41.680036,39.866228,40.700055,44.159717,39.676454,37.737855,34.004129,33.589704,32.652571,no data,51.7,50.100001,50.8,54.5,58,61,63.7,61.4,no data
West Bank and Gaza,20.02378,22.159103,20.869959,20.655032,22.42556,25.454914,20.970682,25.052471,25.171278,26.658895,24.676617,28.105368,32.268036,32.784077,37.394351,40.885493,35.610874,35.385334,36.621482
Yemen,60.840745,60.568578,57.827228,56.823012,52.068094,43.80071,40.842372,40.407906,36.421266,49.842358,42.379573,45.725985,47.312378,48.199762,48.722145,65.47491,79.591086,84.282138,64.752349
Zambia,260.96417,210.24258,180.24365,159.45778,129.91412,75.730411,24.998568,21.93171,19.196275,20.522149,18.891961,20.803273,25.424792,27.087583,36.137416,62.259739,60.66736,65.523022,78.109917
Zimbabwe,26.415807,25.506014,30.761608,43.842662,no data,33.061351,39.436936,44.669659,61.076792,62.039359,49.565465,41.388587,37.198162,38.552653,40.286821,41.806235,54.164097,52.866019,37.057447
,,,,,,,,,,,,,,,,,,,
"©IMF, 2020",,,,,,,,,,,,,,,,,,,
