country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Burundi,136.42511,127.38667,159.08831,171.96926,172.73834,136.98012,130.25485,129.61325,102.51523,25.690163,46.911653,42.70571,41.430787,36.106387,35.772482,45.263352,48.419653,51.711555,58.440227
Cabo Verde,82.636759,79.913842,82.551898,81.358895,83.744573,85.338579,77.72692,64.980958,57.600403,64.141831,72.545521,78.497221,91.092431,102.48988,115.92352,126.64856,128.36478,127.21687,124.50306
Cameroon,79.315661,65.614725,60.410583,56.427599,55.76896,47.650002,19.810129,14.749608,11.657101,12.035677,14.704483,15.690083,15.411946,18.211933,21.533792,25.947344,26.68226,30.513513,33.832437
Canada,46.190936,46.009595,42.917029,40.477502,36.570606,36.145127,33.70055,29.826224,34.812998,42.658149,43.272009,44.226163,45.349885,41.578039,39.85118,42.458473,41.360935,38.95003,36.625266
Central African Republic,94.679124,103.11495,98.518256,95.88629,99.723518,102.96241,46.749964,47.850796,35.765994,20.300304,19.883381,19.686291,31.532795,51.789588,62.239951,59.790414,53.8873,50.292352,49.939405
Chad,67.984918,56.448863,54.432,44.656,32.635,28.483974,26.165961,22.058551,19.882272,31.551391,30.053712,30.565809,28.771867,30.519281,41.545109,43.881635,51.491819,49.763777,48.298043
Chile,15.579543,14.458577,15.167602,12.716848,10.299059,7.000668,4.9892071,3.8786862,4.9208174,5.8203545,8.5599218,11.088428,11.945484,12.732346,14.95717,17.27532,21.019379,23.539501,25.560006
Colombia,26.538305,31.15443,37.234626,36.758879,35.085759,32.804112,31.108769,27.282662,27.248739,28.868869,29.566113,29.131682,27.35394,29.588704,32.885041,37.299262,37.375775,38.303719,41.755862
Comoros,60.818169,53.046257,48.238704,44.497791,42.44646,39.8646,38.478977,36.157103,33.418317,31.829406,30.394472,27.32839,24.976122,10.464485,13.496465,14.26558,16.938867,18.385661,20.971376
"Congo, Republic of ",163.22342,195.7844,180.28928,204.37199,198.67939,108.27148,98.815544,110.59827,79.356575,86.704461,46.345212,36.189912,38.979439,43.309258,53.640202,102.93948,118.56882,117.50797,87.844654
Costa Rica,39.016778,39.800362,41.623694,40.744477,41.151797,37.468061,33.160461,27.069877,24.086691,26.150811,28.378379,29.85263,34.303977,35.94066,38.546393,40.984536,45.075103,48.664702,53.548893
Croatia,31.020938,32.01123,30.946503,32.799741,34.933838,35.869887,33.405555,31.898402,37.362158,46.310657,56.398222,62.996485,68.759197,79.475896,82.983934,82.890588,79.52221,76.877191,73.633397
Cyprus,85.208174,87.497867,92.069117,95.688542,96.250742,95.884122,90.57028,84.879955,77.337295,89.102412,93.235586,103.5363,119.12753,145.15073,151.0292,150.56291,146.38127,135.56742,142.83123
Czech Republic,12.158563,13.432963,14.763332,17.549216,19.360354,21.170432,22.845037,23.237461,24.845402,29.977632,33.919729,37.170673,41.075589,41.075783,38.566174,36.402433,33.837622,32.190019,30.438796
Côte d'Ivoire,102.27035,98.379222,87.058339,77.934225,78.399763,80.398986,79.440609,73.99713,70.827981,64.242337,63.048401,69.153466,45.040954,43.359754,44.789982,47.265545,48.392917,49.839058,53.208956
Denmark,53.598169,50.658901,50.245626,48.36607,45.717071,38.282882,31.757338,27.068642,31.230107,36.437683,38.165226,41.028961,39.974839,38.35388,38.221198,33.367938,30.788881,29.488487,27.819119
Djibouti,58.1749,58.106751,63.733978,66.324157,65.349472,60.360807,58.392593,56.684685,59.308869,29.555161,27.905739,25.702236,25.069563,24.592915,26.910224,39.913455,45.684484,47.915699,47.966303
Dominica,69.553052,97.490291,99.360355,98.220077,85.81775,84.935068,80.446791,74.900174,66.527392,62.810459,67.315943,68.63583,74.031702,75.01475,79.916382,77.694919,69.514354,76.936314,78.215939
Dominican Republic,11.673373,13.778497,14.749594,24.272152,26.7288,17.480654,18.829662,16.584523,22.517361,26.892605,27.143268,28.316352,31.48143,36.816963,35.866009,34.39372,36.101586,37.940596,38.750869
Ecuador,63.678989,49.374448,43.855911,40.431218,36.402283,32.390856,26.462947,25.194197,20.57668,14.937695,17.817892,17.261196,20.086655,22.906946,27.517065,30.94902,35.620193,41.307584,42.626409
Egypt,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
El Salvador,30.518388,35.083151,40.208888,42.570266,44.083813,43.924616,43.957063,41.496787,41.40995,50.298794,49.885288,48.146283,51.343594,49.18512,49.625876,49.662641,49.648853,48.848942,48.159713
Equatorial Guinea,36.627469,25.477075,19.446711,6.7062164,4.5220331,2.8500579,1.2209177,0.7544761,0.48841304,4.3372652,7.8943171,7.1704249,7.0972396,6.2720553,12.559933,33.606566,43.421237,38.017999,43.262624
Eritrea,219.06024,238.52065,243.39174,263.93736,193.47519,205.33214,199.04636,201.27977,259.66665,207.0543,201.71247,165.33979,160.1028,194.59457,143.39548,190.34057,170.14535,196.16086,174.31123
Estonia,3.3221301,2.9118119,3.4686113,3.1311338,2.6717838,2.067663,1.8148258,1.2738784,1.7051031,3.4654253,3.2214028,3.1671143,10.732518,10.940248,11.142226,10.696644,10.098817,10.037088,9.3809077
Eswatini,18.158978,21.756793,17.136829,17.481577,15.028105,13.500562,14.589632,16.119453,14.595777,10.486661,14.095744,14.685337,14.764754,15.005365,14.135409,18.127874,25.258799,27.831789,35.820813
Fiji,36.925584,41.034814,43.385067,44.85364,44.534061,43.989458,49.204054,46.042616,47.463735,51.504189,51.84115,48.64208,47.65327,45.846824,44.508051,43.044523,44.040558,43.745334,46.154716
Finland,39.97402,38.477675,37.398593,39.396578,38.91795,35.626296,33.563326,29.508425,28.160507,36.187572,41.460716,42.698952,46.435561,48.197091,50.944645,53.382678,53.168142,51.49385,49.669964
France,48.58023,48.465739,50.616282,53.757177,53.667242,54.295106,51.418959,51.185767,55.250504,67.046336,68.250765,69.642518,72.026863,74.745334,76.026915,76.609147,78.930089,79.814802,80.982878
Gabon,72.496907,80.979437,81.070062,70.241029,60.301269,49.326339,39.597815,39.237099,20.053192,25.991749,21.295213,21.424997,21.442436,31.112811,34.062798,44.70321,64.198722,62.643854,60.660531
"Gambia, The",73.250229,75.229867,93.875279,91.694292,81.303059,82.596471,87.344267,38.022861,39.528277,38.868143,42.948652,49.240639,49.491895,58.24417,71.086021,69.368877,80.948309,87.0077,86.554164
Germany,37.954473,36.162925,36.771059,38.660454,39.549131,41.111519,41.008813,39.377328,39.91235,44.266702,52.020785,49.899835,50.553744,49.45809,47.703822,45.299416,43.611882,41.642347,39.558871
Ghana,79.190616,61.721838,57.868827,52.693643,41.159519,33.998421,18.589409,22.643943,24.947977,26.95945,34.578199,31.42601,35.583656,43.217411,51.15907,54.829835,57.117407,57.266271,59.292147
Greece,98.539551,95.757605,101.62491,99.389117,104.3858,108.11764,103.83527,102.86598,108.29817,125.67641,150.54846,177.74225,159.79652,177.95231,181.42569,181.27936,184.91803,182.39235,194.32672
